type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,Switch,transition
task,141.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,142.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,143.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,144.0,1,285.0,0,"(0, 1)",001,829.0,5,"(4, 5)",1.0,rare
task,145.0,0,1740.0,0,"(1, 0)",001,550.0,2,"(2, 3)",0.0,common
task,146.0,0,1375.0,0,"(0, 1)",001,357.0,3,"(3, 2)",0.0,common
task,147.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,148.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,149.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,150.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,151.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,152.0,0,182.0,0,"(0, 1)",001,458.0,3,"(2, 3)",1.0,common
task,153.0,0,110.0,0,"(1, 0)",001,370.0,3,"(2, 3)",0.0,common
task,154.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,155.0,1,218.0,1,"(1, 0)",001,637.0,2,"(2, 3)",1.0,rare
task,156.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",1.0,
task,157.0,1,175.0,0,"(0, 1)",001,273.0,3,"(3, 2)",1.0,common
task,158.0,0,253.0,1,"(1, 0)",001,699.0,4,"(4, 5)",1.0,common
task,159.0,0,270.0,0,"(1, 0)",001,511.0,3,"(3, 2)",1.0,common
task,160.0,0,219.0,1,"(1, 0)",001,365.0,5,"(5, 4)",1.0,common
task,161.0,0,100.0,0,"(0, 1)",001,233.0,5,"(4, 5)",1.0,rare
task,162.0,0,194.0,0,"(0, 1)",001,310.0,5,"(4, 5)",0.0,rare
task,163.0,0,181.0,0,"(1, 0)",001,288.0,3,"(3, 2)",0.0,common
task,164.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",1.0,
task,165.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,166.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,167.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,168.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,169.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,170.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,171.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,172.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,173.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,174.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,175.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
task,176.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,177.0,-1,,-1,"(0, 1)",001,-1.0,-1,"(-1, -1)",0.0,
task,178.0,-1,,-1,"(1, 0)",001,-1.0,-1,"(-1, -1)",0.0,
