type,trial,FB,fs_RT,fs_choice,fs_stims,id,ss_RT,ss_choice,ss_stims,switch
task,161.0,0,100.0,0,"(0, 1)",003,233.0,1,"(4, 5)",0.0
task,162.0,0,194.0,0,"(0, 1)",003,310.0,1,"(4, 5)",0.0
task,163.0,0,181.0,1,"(1, 0)",003,288.0,0,"(3, 2)",1.0
task,164.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",1.0
task,165.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,166.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,167.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,168.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,169.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,170.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,171.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,172.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,173.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,174.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,175.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,176.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,177.0,-1,,-1,"(0, 1)",003,-1.0,-1,"(-1, -1)",0.0
task,178.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,179.0,-1,,-1,"(1, 0)",003,-1.0,-1,"(-1, -1)",0.0
task,180.0,0,317.0,1,"(1, 0)",003,395.0,0,"(2, 3)",1.0
task,181.0,1,249.0,0,"(0, 1)",003,409.0,1,"(3, 2)",1.0
task,182.0,0,246.0,1,"(1, 0)",003,452.0,0,"(2, 3)",1.0
task,183.0,0,214.0,1,"(0, 1)",003,459.0,0,"(3, 2)",0.0
task,184.0,1,175.0,0,"(1, 0)",003,473.0,1,"(2, 3)",1.0
task,185.0,0,237.0,1,"(1, 0)",003,327.0,0,"(3, 2)",1.0
task,186.0,0,362.0,1,"(1, 0)",003,507.0,0,"(4, 5)",0.0
task,187.0,1,329.0,0,"(1, 0)",003,398.0,1,"(5, 4)",1.0
task,188.0,0,318.0,0,"(0, 1)",003,274.0,1,"(4, 5)",0.0
task,189.0,0,234.0,0,"(0, 1)",003,334.0,1,"(4, 5)",0.0
task,190.0,1,319.0,0,"(1, 0)",003,403.0,1,"(5, 4)",0.0
task,191.0,0,250.0,0,"(1, 0)",003,336.0,1,"(4, 5)",0.0
task,192.0,1,263.0,1,"(0, 1)",003,286.0,0,"(5, 4)",1.0
task,193.0,1,341.0,0,"(0, 1)",003,317.0,1,"(4, 5)",1.0
task,194.0,0,373.0,1,"(1, 0)",003,247.0,0,"(5, 4)",1.0
task,195.0,1,230.0,0,"(0, 1)",003,243.0,0,"(3, 2)",1.0
task,196.0,0,296.0,1,"(1, 0)",003,342.0,0,"(3, 2)",1.0
task,197.0,0,240.0,0,"(0, 1)",003,428.0,1,"(2, 3)",1.0
task,198.0,0,261.0,0,"(0, 1)",003,455.0,1,"(3, 2)",0.0
task,199.0,0,207.0,0,"(1, 0)",003,674.0,1,"(2, 3)",0.0
